Server Type,OS,Friendly,Instance Size ,CPU,Memory,Network,Elasticity,Storage,Price,SKU,Title,template
Application,Windows 2012,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,50,53100,SVR_W2012_APP_001,Windows 2012 Application Server,server
Application,Windows 2012,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,50,53100,SVR_W2012_APP_002,Windows 2012 Application Server,server
Application,Windows 2012,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,50,69300,SVR_W2012_APP_003,Windows 2012 Application Server,server
Application,Windows 2012,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,50,145552,SVR_W2012_APP_004,Windows 2012 Application Server,server
Application,Windows 2012,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,50,145552,SVR_W2012_APP_005,Windows 2012 Application Server,server
Application,Windows 2012,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,50,161752,SVR_W2012_APP_006,Windows 2012 Application Server,server
Application,Windows 2012,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,50,53100,SVR_W2012_APP_007,Windows 2012 Application Server,server
Application,Windows 2012,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,50,53100,SVR_W2012_APP_008,Windows 2012 Application Server,server
Application,Windows 2012,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,50,69300,SVR_W2012_APP_009,Windows 2012 Application Server,server
Application,Windows 2012,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,50,145552,SVR_W2012_APP_010,Windows 2012 Application Server,server
Application,Windows 2012,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,50,145552,SVR_W2012_APP_011,Windows 2012 Application Server,server
Application,Windows 2012,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,50,161752,SVR_W2012_APP_012,Windows 2012 Application Server,server
Application,Windows 2012,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,50,53100,SVR_W2012_APP_013,Windows 2012 Application Server,server
Application,Windows 2012,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,50,53100,SVR_W2012_APP_014,Windows 2012 Application Server,server
Application,Windows 2012,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,50,69300,SVR_W2012_APP_015,Windows 2012 Application Server,server
Application,Windows 2012,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,50,145552,SVR_W2012_APP_016,Windows 2012 Application Server,server
Application,Windows 2012,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,50,145552,SVR_W2012_APP_017,Windows 2012 Application Server,server
Application,Windows 2012,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,50,161752,SVR_W2012_APP_018,Windows 2012 Application Server,server
Application,Windows 2012,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,50,53100,SVR_W2012_APP_019,Windows 2012 Application Server,server
Application,Windows 2012,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,50,53100,SVR_W2012_APP_020,Windows 2012 Application Server,server
Application,Windows 2012,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,50,69300,SVR_W2012_APP_021,Windows 2012 Application Server,server
Application,Windows 2012,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,50,145552,SVR_W2012_APP_022,Windows 2012 Application Server,server
Application,Windows 2012,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,50,145552,SVR_W2012_APP_023,Windows 2012 Application Server,server
Application,Windows 2012,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,50,161752,SVR_W2012_APP_024,Windows 2012 Application Server,server
Application,Windows 2008,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,50,53100,SVR_W2008_APP_001,Windows 2008 Application Server,server
Application,Windows 2008,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,50,53100,SVR_W2008_APP_002,Windows 2008 Application Server,server
Application,Windows 2008,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,50,69300,SVR_W2008_APP_003,Windows 2008 Application Server,server
Application,Windows 2008,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,50,145552,SVR_W2008_APP_004,Windows 2008 Application Server,server
