Server Type,OS,Friendly,Instance Size ,CPU,Memory,Network,Elasticity,Storage,Price,SKU,Title,template
IIS-V8.0,Windows 2012,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,50,53100,SVR_W2012_IIS8_001,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,50,53100,SVR_W2012_IIS8_002,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,50,69300,SVR_W2012_IIS8_003,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,50,145552,SVR_W2012_IIS8_004,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,50,145552,SVR_W2012_IIS8_005,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,50,161752,SVR_W2012_IIS8_006,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,50,53100,SVR_W2012_IIS8_007,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,50,53100,SVR_W2012_IIS8_008,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,50,69300,SVR_W2012_IIS8_009,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,50,145552,SVR_W2012_IIS8_010,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,50,145552,SVR_W2012_IIS8_011,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,50,161752,SVR_W2012_IIS8_012,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,50,53100,SVR_W2012_IIS8_013,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,50,53100,SVR_W2012_IIS8_014,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,50,69300,SVR_W2012_IIS8_015,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,50,145552,SVR_W2012_IIS8_016,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,50,145552,SVR_W2012_IIS8_017,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,50,161752,SVR_W2012_IIS8_018,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,50,53100,SVR_W2012_IIS8_019,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,50,53100,SVR_W2012_IIS8_020,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,50,69300,SVR_W2012_IIS8_021,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,50,145552,SVR_W2012_IIS8_022,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,50,145552,SVR_W2012_IIS8_023,Windows 2012 IIS V8.0 Web Server,server
IIS-V8.0,Windows 2012,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,50,161752,SVR_W2012_IIS8_024,Windows 2012 IIS V8.0 Web Server,server
IIS-V7.0,Windows 2008,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,50,53100,SVR_W2008_IIS7_001,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,50,53100,SVR_W2008_IIS7_002,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,50,69300,SVR_W2008_IIS7_003,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,50,145552,SVR_W2008_IIS7_004,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,50,145552,SVR_W2008_IIS7_005,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,50,161752,SVR_W2008_IIS7_006,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,50,53100,SVR_W2008_IIS7_007,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,50,53100,SVR_W2008_IIS7_008,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,50,69300,SVR_W2008_IIS7_009,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,50,145552,SVR_W2008_IIS7_010,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,50,145552,SVR_W2008_IIS7_011,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,50,161752,SVR_W2008_IIS7_012,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,50,53100,SVR_W2008_IIS7_013,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,50,53100,SVR_W2008_IIS7_014,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,50,69300,SVR_W2008_IIS7_015,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,50,145552,SVR_W2008_IIS7_016,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,50,145552,SVR_W2008_IIS7_017,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,50,161752,SVR_W2008_IIS7_018,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,50,53100,SVR_W2008_IIS7_019,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,50,53100,SVR_W2008_IIS7_020,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,50,69300,SVR_W2008_IIS7_021,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,50,145552,SVR_W2008_IIS7_022,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,50,145552,SVR_W2008_IIS7_023,Windows 2008 IIS V7.0 Web Server,server
IIS-V7.0,Windows 2008,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,50,161752,SVR_W2008_IIS7_024,Windows 2008 IIS V7.0 Web Server,server
Weblogic,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,50,53100,SVR_RHL6_WBL_001,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Medium - 2 vCPU / 6 GB,Mediumium,2,6,Development,No,50,53100,SVR_RHL6_WBL_002,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,50,69300,SVR_RHL6_WBL_003,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,50,145552,SVR_RHL6_WBL_004,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,50,145552,SVR_RHL6_WBL_005,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,50,161752,SVR_RHL6_WBL_006,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,50,53100,SVR_RHL6_WBL_007,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,50,53100,SVR_RHL6_WBL_008,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,50,69300,SVR_RHL6_WBL_009,RHEL 6 WebLogic Server,server
Weblogic,RHEL 6,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,50,145552,SVR_RHL6_WBL_010,RHEL 6 WebLogic Server,server
